name,preset,startF,stopF,value,colour
21,marker,474,,TRUE,orange
22,marker,482,,TRUE,orange
23,marker,490,,TRUE,orange
24,marker,498,,TRUE,orange
25,marker,506,,TRUE,orange
26,marker,514,,TRUE,orange
27,marker,522,,TRUE,orange
28,marker,530,,TRUE,orange
29,marker,538,,TRUE,orange
30,marker,546,,TRUE,orange
31,marker,554,,TRUE,orange
32,marker,562,,TRUE,orange
33,marker,570,,TRUE,orange
34,marker,578,,TRUE,orange
35,marker,586,,TRUE,orange
36,marker,594,,TRUE,orange
37,marker,602,,TRUE,orange
38,marker,610,,TRUE,orange
39,marker,618,,TRUE,orange
40,marker,626,,TRUE,orange
41,marker,634,,TRUE,orange
42,marker,642,,TRUE,orange
43,marker,650,,TRUE,orange
44,marker,658,,TRUE,orange
45,marker,666,,TRUE,orange
46,marker,674,,TRUE,orange
47,marker,682,,TRUE,orange
48,marker,690,,TRUE,orange
49,marker,698,,TRUE,orange
50,marker,706,,TRUE,orange
51,marker,714,,TRUE,orange
52,marker,722,,TRUE,orange
53,marker,730,,TRUE,orange
54,marker,738,,TRUE,orange
55,marker,746,,TRUE,orange
56,marker,754,,TRUE,orange
57,marker,762,,TRUE,orange
58,marker,770,,TRUE,orange
59,marker,778,,TRUE,orange
60,marker,786,,TRUE,orange
