name,preset,startF,stopF,value,colour
FM,broadcast,87.5,108,True,lime
DAB,broadcast,175,230,True,lime
TV,broadcast,470,700,True,lime
5B,marker,176.64,,True,orange
5C,marker,178.352,,True,orange
5D,marker,180.064,,True,orange
6A,marker,181.936,,True,orange
6B,marker,183.648,,True,orange
6C,marker,185.36,,True,orange
6D,marker,187.072,,True,orange
7A,marker,188.928,,True,orange
7B,marker,190.64,,True,orange
7C,marker,192.352,,True,orange
7D,marker,194.064,,True,orange
8A,marker,195.936,,True,orange
8B,marker,197.648,,True,orange
8C,marker,199.36,,True,orange
8D,marker,201.072,,True,orange
9A,marker,202.928,,True,orange
9B,marker,204.64,,True,orange
9C,marker,206.352,,True,orange
9D,marker,208.064,,True,orange
10A,marker,209.936,,True,orange
10B,marker,211.648,,True,orange
10C,marker,213.36,,True,orange
10D,marker,215.072,,True,orange
11A,marker,216.928,,True,orange
11B,marker,218.64,,True,orange
11C,marker,220.352,,True,orange
11D,marker,222.064,,True,orange
12A,marker,223.936,,True,orange
12B,marker,225.648,,True,orange
12C,marker,227.36,,True,orange
12D,marker,229.072,,True,orange
13A,marker,230.784,,True,orange
13B,marker,232.496,,True,orange
13C,marker,234.208,,True,orange
13D,marker,235.776,,True,orange
21,marker,474,,True,orange
22,marker,482,,True,orange
23,marker,490,,True,orange
24,marker,498,,True,orange
25,marker,506,,True,orange
26,marker,514,,True,orange
27,marker,522,,True,orange
28,marker,530,,True,orange
29,marker,538,,True,orange
30,marker,546,,True,orange
31,marker,554,,True,orange
32,marker,562,,True,orange
33,marker,570,,True,orange
34,marker,578,,True,orange
35,marker,586,,True,orange
36,marker,594,,True,orange
37,marker,602,,True,orange
38,marker,610,,True,orange
39,marker,618,,True,orange
40,marker,626,,True,orange
41,marker,634,,True,orange
42,marker,642,,True,orange
43,marker,650,,True,orange
44,marker,658,,True,orange
45,marker,666,,True,orange
46,marker,674,,True,orange
47,marker,682,,True,orange
48,marker,690,,True,orange
49,marker,698,,True,orange
50,marker,706,,True,orange
51,marker,714,,True,orange
52,marker,722,,True,orange
53,marker,730,,True,orange
54,marker,738,,True,orange
55,marker,746,,True,orange
56,marker,754,,True,orange
57,marker,762,,True,orange
58,marker,770,,True,orange
59,marker,778,,True,orange
60,marker,786,,True,orange
