name,preset,startF,stopF,value,colour
WiFi 2G,WiFi 2G,2401000000,2495000000,True,lime
ch1,WiFi 2G,2412000000,,True,chartreuse
ch2,WiFi 2G,2417000000,,True,chartreuse
ch3,WiFi 2G,2422000000,,True,chartreuse
ch4,WiFi 2G,2427000000,,True,chartreuse
ch5,WiFi 2G,2432000000,,True,chartreuse
ch6,WiFi 2G,2437000000,,True,chartreuse
ch7,WiFi 2G,2442000000,,True,chartreuse
ch8,WiFi 2G,2447000000,,True,chartreuse
ch9,WiFi 2G,2452000000,,True,chartreuse
ch10,WiFi 2G,2457000000,,True,chartreuse
ch11,WiFi 2G,2462000000,,True,chartreuse
ch12,WiFi 2G,2467000000,,True,chartreuse
ch13,WiFi 2G,2472000000,,True,chartreuse
ch14,WiFi 2G,2484000000,,True,chartreuse
WiFi 5G,WiFi 5G,5150000000,5510000000,True,lime
WiFi 5G9,WiFi 5G9,5855000000,5990000000,True,lime
ch32,WiFi 5G,5160000000,,True,chartreuse
ch36,WiFi 5G,5180000000,,True,chartreuse
ch40,WiFi 5G,5200000000,,True,chartreuse
ch44,WiFi 5G,5220000000,,True,chartreuse
ch48,WiFi 5G,5240000000,,True,chartreuse
ch52,WiFi 5G,5260000000,,True,chartreuse
ch56,WiFi 5G,5280000000,,True,chartreuse
ch60,WiFi 5G,5300000000,,True,chartreuse
ch64,WiFi 5G,5320000000,,True,chartreuse
ch68,WiFi 5G,5340000000,,True,chartreuse
ch72,WiFi 5G,5360000000,,True,chartreuse
ch76,WiFi 5G,5380000000,,True,chartreuse
ch80,WiFi 5G,5400000000,,True,chartreuse
ch84,WiFi 5G,5420000000,,True,chartreuse
ch88,WiFi 5G,5440000000,,True,chartreuse
ch92,WiFi 5G,5460000000,,True,chartreuse
ch96,WiFi 5G,5480000000,,True,chartreuse
ch100,WiFi 5G,5480000000,,True,chartreuse
ch172,WiFi 5G9,5860000000,,True,chartreuse
ch174,WiFi 5G9,5870000000,,True,chartreuse
ch176,WiFi 5G9,5880000000,,True,chartreuse
ch178,WiFi 5G9,5890000000,,True,chartreuse
ch180,WiFi 5G9,5900000000,,True,chartreuse
ch182,WiFi 5G9,5910000000,,True,chartreuse
ch184,WiFi 5G9,5920000000,,True,chartreuse
ch186,WiFi 5G9,5930000000,,True,chartreuse
ch188,WiFi 5G9,5940000000,,True,chartreuse
ch190,WiFi 5G9,5950000000,,True,chartreuse
ch192,WiFi 5G9,5960000000,,True,chartreuse
ch194,WiFi 5G9,5970000000,,True,chartreuse
ch196,WiFi 5G9,5980000000,,True,chartreuse
ch121,WiFi 6G,6555000000,,True,chartreuse
ch125,WiFi 6G,6575000000,,True,chartreuse
ch129,WiFi 6G,6595000000,,True,chartreuse
ch133,WiFi 6G,6615000000,,True,chartreuse
ch137,WiFi 6G,6635000000,,True,chartreuse
ch141,WiFi 6G,6655000000,,True,chartreuse
ch145,WiFi 6G,6675000000,,True,chartreuse
ch149,WiFi 6G,6695000000,,True,chartreuse
ch153,WiFi 6G,6715000000,,True,chartreuse
ch157,WiFi 6G,6735000000,,True,chartreuse
ch161,WiFi 6G,6755000000,,True,chartreuse
ch165,WiFi 6G,6775000000,,True,chartreuse
ch169,WiFi 6G,6795000000,,True,chartreuse
ch173,WiFi 6G,6815000000,,True,chartreuse
ch177,WiFi 6G,6835000000,,True,chartreuse
ch181,WiFi 6G,6855000000,,True,chartreuse
ch185,WiFi 6G,6875000000,,True,chartreuse
ch189,WiFi 6G,6895000000,,True,chartreuse
ch193,WiFi 6G,6915000000,,True,chartreuse
ch197,WiFi 6G,6935000000,,True,chartreuse
ch201,WiFi 6G,6955000000,,True,chartreuse
ch205,WiFi 6G,6975000000,,True,chartreuse
ch209,WiFi 6G,6995000000,,True,chartreuse
ch213,WiFi 6G,7015000000,,True,chartreuse
ch217,WiFi 6G,7035000000,,True,chartreuse
ch221,WiFi 6G,7055000000,,True,chartreuse
ch225,WiFi 6G,7075000000,,True,chartreuse
ch229,WiFi 6G,7095000000,,True,chartreuse
ch233,WiFi 6G,7115000000,,True,chartreuse
WiFi 6G,WiFi 6G,6905000000,7125000000,True,lime
