name,preset,startF,stopF,value,colour
DPMR1,marker,446003125,,False,lime
APMR1,marker,446006250,,True,lime
DPMR2,marker,446009375,,False,lime
DPMR3,marker,446015625,,False,lime
APMR2,marker,446018750,,True,lime
DPMR4,marker,446021875,,False,lime
DPMR5,marker,446028125,,False,lime
APMR3,marker,446031250,,True,lime
DPMR6,marker,446034375,,False,lime
DPMR7,marker,446040625,,False,lime
APMR4,marker,446043750,,True,lime
DPMR8,marker,446046875,,False,lime
DPMR9,marker,446053125,,False,lime
APMR5,marker,446056250,,True,lime
DPMR10,marker,446059375,,False,lime
DPMR11,marker,446065625,,False,lime
APMR6,marker,446068750,,True,lime
DPMR12,marker,446071875,,False,lime
DPMR13,marker,446078125,,False,lime
APMR7,marker,446081250,,True,lime
DPMR14,marker,446084375,,False,lime
DPMR15,marker,446090625,,False,lime
APMR8,marker,446093750,,True,lime
DPMR16,marker,446096875,,False,lime
DPMR17,marker,446103125,,False,lime
APMR9,marker,446106250,,True,lime
DPMR18,marker,446109375,,False,lime
DPMR19,marker,446115625,,False,lime
APMR10,marker,446118750,,True,lime
DPMR20,marker,446121875,,False,lime
DPMR21,marker,446128125,,False,lime
APMR11,marker,446131250,,True,lime
DPMR22,marker,446134375,,False,lime
DPMR23,marker,446140625,,False,lime
APMR12,marker,446143750,,True,lime
DPMR24,marker,446146875,,False,lime
DPMR25,marker,446153125,,False,lime
APMR13,marker,446156250,,True,lime
DPMR26,marker,446159375,,False,lime
DPMR27,marker,446165625,,False,lime
APMR14,marker,446168750,,True,lime
DPMR28,marker,446171875,,False,lime
DPMR29,marker,446178125,,False,lime
APMR15,marker,446181250,,True,lime
DPMR30,marker,446184373,,False,lime
DPMR31,marker,446190625,,False,lime
APMR16,marker,446193750,,True,lime
DPMR32,marker,446196875,,False,lime
PMR446,other,446000000,446200000,True,lime
